pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a05_s2_neutral_sad,5,2,neutral,sad,-1.0625,-0.125,-0.875,-0.5,0.65625,-0.09375,-0.5625
a05_s2_neutral_angry,5,2,neutral,angry,-0.375,0.0,-0.0625,0.1875,0.3125,0.25,-0.125
a05_s2_happy_sad,5,2,happy,sad,-0.625,-1.5937504768371582,-0.5625,-1.25,-0.8281252384185791,0.2031252384185791,0.2812504768371582
a05_s2_happy_angry,5,2,happy,angry,0.0,-0.375,0.1875,-0.125,-0.34375,0.21875,0.0625
a05_s2_sad_angry,5,2,sad,angry,1.0625,-0.125,1.5625,0.3125,-1.21875,0.46875,-0.0625
a06_s1_neutral_happy,6,1,neutral,happy,-0.5,-0.1875,-0.5,-0.125,0.34375,0.03125,0.0625
a06_s1_neutral_sad,6,1,neutral,sad,-1.375,-0.8125,-0.9375,-0.8125,0.34375,0.21875,-0.4375
a06_s1_neutral_angry,6,1,neutral,angry,-2.0,-1.0,-1.125,-1.0625,0.53125,0.40625,-0.9375
a06_s1_happy_sad,6,1,happy,sad,-0.8125,-0.625,-0.75,-0.375,0.28125,0.15625,0.1875
a06_s1_happy_angry,6,1,happy,angry,-1.1875,-0.7500002384185791,-1.0,-0.75,0.34374988079071045,0.09375011920928955,-0.1874997615814209
a06_s1_sad_angry,6,1,sad,angry,-0.1875,-0.875,-0.0625,-0.5625,-0.59375,0.21875,0.1875
a06_s2_neutral_happy,6,2,neutral,happy,-0.125,0.1875,0.25,0.6875,0.375,0.4375,0.125
a06_s2_neutral_sad,6,2,neutral,sad,-1.125,-0.5,-0.625,-0.5,0.375,0.25,-0.5
a06_s2_neutral_angry,6,2,neutral,angry,0.375,-0.5625,0.4375,-0.4375,-0.90625,0.09375,0.0625
a06_s2_happy_sad,6,2,happy,sad,-0.875,-0.875,-1.0625,-0.75,0.15625,-0.03125,0.3125
a06_s2_happy_angry,6,2,happy,angry,-0.0625,-0.25,0.375,-0.375,-0.46875,0.15625,-0.5625
a06_s2_sad_angry,6,2,sad,angry,0.75,-0.0625,0.6875,-0.1875,-0.84375,-0.09375,-0.0625
a07_s1_neutral_happy,7,1,neutral,happy,-0.25,-0.75,-0.25,-0.25,-0.25,0.25,0.5
a07_s1_neutral_sad,7,1,neutral,sad,-0.9375,-1.0,-0.8125,-0.75,0.0,0.1875,0.125
a07_s1_neutral_angry,7,1,neutral,angry,-1.25,-2.562500238418579,-1.0625,-2.5625,-1.4062501192092896,0.09375011920928955,-0.1874997615814209
a07_s1_happy_sad,7,1,happy,sad,-0.8125,-0.875,-0.4375,-0.75,-0.1875,0.25,-0.25
a07_s1_happy_angry,7,1,happy,angry,-0.5625,-1.625,-0.8125,-1.375,-0.8125,0.0,0.5
a07_s1_sad_angry,7,1,sad,angry,-0.5625,-0.9375,-0.8125,-0.8125,-0.1875,-0.0625,0.375
a07_s2_neutral_happy,7,2,neutral,happy,0.1875,0.625,0.3125,0.8125,0.46875,0.15625,0.0625
a07_s2_neutral_sad,7,2,neutral,sad,-0.25,-0.4999995231628418,0.0,0.125,-0.0624997615814209,0.4374997615814209,0.3749995231628418
a07_s2_neutral_angry,7,2,neutral,angry,-0.1875,0.0,0.375,0.3125,0.0625,0.4375,-0.25
