system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
ordinary_lora_layer22,20260903,False,F5TTS,other,0.07692307692307693,0.034873696872493996,0.11959332833583168,104
ordinary_lora_layer22,20260903,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
ordinary_lora_layer22,20260903,False,STYLE,acoustic_correct,0.8076923076923077,0.7391304347826086,0.8818181818181818,104
ordinary_lora_layer22,20260903,False,STYLE,semantic_follow,0.8076923076923077,0.7391304347826086,0.8818181818181818,104
ordinary_lora_layer22,20260903,False,STYLE,other,0.19230769230769232,0.11818181818181818,0.2608695652173913,104
ordinary_lora_layer22,20260903,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
ordinary_lora_layer22,20260903,True,COSY,acoustic_correct,0.46794871794871795,0.41156462585034015,0.5192307692307693,312
ordinary_lora_layer22,20260903,True,COSY,semantic_follow,0.2980769230769231,0.2462686567164179,0.3605457637600495,312
ordinary_lora_layer22,20260903,True,COSY,other,0.23397435897435898,0.18840579710144928,0.272108843537415,312
ordinary_lora_layer22,20260903,True,COSY,acoustic_margin,1.0096153745983965,0.4150787438896426,1.4751641643754052,312
ordinary_lora_layer22,20260903,True,F5TTS,acoustic_correct,0.3782051282051282,0.3063036874083386,0.4378152840448918,312
ordinary_lora_layer22,20260903,True,F5TTS,semantic_follow,0.5192307692307693,0.4489795918367347,0.6050817065956816,312
